2024-06-11 14:03:02,265 - INFO - Starting Supertrend calculation
2024-06-11 14:03:02,299 - INFO - 
Calculated basic upper and lower bands:
                 Ticker        Date      Time      Open      High       Low     Close  Volume  Open Interest            DateTime        hl2      tr     atr  basic_upper_band  basic_lower_band
109  NIFTY BANK.NSE_IDX  03/01/2024  10:54:59  47633.05  47645.00  47623.45  47637.80       0              0 2024-03-01 10:54:59  47634.225   21.55  18.475         47689.650         47578.800
110  NIFTY BANK.NSE_IDX  03/01/2024  10:55:59  47635.95  47669.85  47634.30  47662.00       0              0 2024-03-01 10:55:59  47652.075   35.55  19.910         47711.805         47592.345
111  NIFTY BANK.NSE_IDX  03/01/2024  10:56:59  47664.00  47690.05  47658.85  47665.40       0              0 2024-03-01 10:56:59  47674.450   31.20  21.225         47738.125         47610.775
112  NIFTY BANK.NSE_IDX  03/01/2024  10:57:59  47674.15  47681.15  47648.90  47651.95       0              0 2024-03-01 10:57:59  47665.025   32.25  22.820         47733.485         47596.565
113  NIFTY BANK.NSE_IDX  03/01/2024  10:58:59  47649.15  47654.35  47635.95  47646.10       0              0 2024-03-01 10:58:59  47645.150   18.40  23.365         47715.245         47575.055
114  NIFTY BANK.NSE_IDX  03/01/2024  10:59:59  47644.00  47657.45  47639.75  47641.75       0              0 2024-03-01 10:59:59  47648.600   17.70  22.875         47717.225         47579.975
115  NIFTY BANK.NSE_IDX  03/01/2024  11:00:59  47640.20  47653.20  47632.40  47645.95       0              0 2024-03-01 11:00:59  47642.800   20.80  23.765         47714.095         47571.505
116  NIFTY BANK.NSE_IDX  03/01/2024  11:01:59  47647.25  47656.40  47639.05  47642.45       0              0 2024-03-01 11:01:59  47647.725   17.35  24.220         47720.385         47575.065
117  NIFTY BANK.NSE_IDX  03/01/2024  11:02:59  47643.30  47648.20  47639.15  47642.90       0              0 2024-03-01 11:02:59  47643.675    9.05  22.760         47711.955         47575.395
118  NIFTY BANK.NSE_IDX  03/01/2024  11:03:59  47643.95  47663.15  47634.30  47662.05       0              0 2024-03-01 11:03:59  47648.725   28.85  23.270         47718.535         47578.915
119  NIFTY BANK.NSE_IDX  03/01/2024  11:04:59  47664.45  47664.45  47650.25  47656.15       0              0 2024-03-01 11:04:59  47657.350   14.20  22.535         47724.955         47589.745
120  NIFTY BANK.NSE_IDX  03/01/2024  11:05:59  47655.05  47661.70  47649.20  47656.55       0              0 2024-03-01 11:05:59  47655.450   12.50  20.230         47716.140         47594.760
121  NIFTY BANK.NSE_IDX  03/01/2024  11:06:59  47657.40  47666.30  47652.20  47652.85       0              0 2024-03-01 11:06:59  47659.250   14.10  18.520         47714.810         47603.690
122  NIFTY BANK.NSE_IDX  03/01/2024  11:07:59  47654.30  47670.55  47654.30  47660.15       0              0 2024-03-01 11:07:59  47662.425   17.70  17.065         47713.620         47611.230
